"filename", "language", "PHP", "HTML", "JavaScript", "JSON", "CSS", "XML", "Markdown", "Shell Script", "YAML", "Ini", "comment", "blank", "total"
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\AlterarCadastroUsuario.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 40
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\CadastrarFeedback.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 42
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\ConfirmarCadastro.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\InserirCodigoCadastro.php", "PHP", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 162
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\NovoUsuario(1).php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 115
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\NovoUsuario.php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 115
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\class.phpmailer.php", "PHP", 1566, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1031, 230, 2827
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\class.pop3.php", "PHP", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 65, 419
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\class.smtp(1).php", "PHP", 530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 348, 126, 1004
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\class.smtp.php", "PHP", 530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 348, 126, 1004
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs(1).ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 63, 18, 93
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 63, 18, 93
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\extending.html", "HTML", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 149
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\faq.html", "HTML", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 68
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\makedocs2.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 1, 5
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\classes.svg", "XML", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 9, 1, 60
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\classes\PHPMailer.html", "HTML", 0, 2418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2421
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\classes\POP3.html", "HTML", 0, 435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 436
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\classes\SMTP.html", "HTML", 0, 597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 614
